"","idHash","date","greek","athlete","financialAid","gender","geography","highschool","legacy","major","orientation","race","year","school","q5","q1","q3","q6","q2","q7","q8","q4","ipedsId","caseid","weight"
"59","96d39fb1410900c5679c53344d0d3c990cce027cbc9efb47d5dfbd0ea2d44e3a",2019-03-29 03:27:15,4,3,1,2,1,1,2,266065,2,1,4,80,4,1,2,2,2,3,1,1,182670,59,3.00002917592654
"60","463a7c0779b778fae0fb27bf88d9d6eb2e99aadfbb964025766ea67cfc413f0e",2019-03-29 03:27:21,4,3,2,2,6,2,2,256755,3,4,4,10,3,3,2,3,19,3,1,1,215062,60,0.818197715592869
"61","c74c53bd090c4d4c240f5b62e308c7e1fffe388aa2ada35ab0d8b276722e7958",2019-03-29 03:27:23,4,3,2,2,4,5,2,192847,2,4,4,91,4,1,2,2,10,4,2,1,228778,61,0.818197715592869
"62","9107b982a653ae5db41368bb4b0288ff3a30dc2602bec24bc4a4899493220749",2019-03-29 03:27:25,4,3,1,2,3,2,2,1948,2,4,1,29,2,2,2,3,4,2,2,3,166683,62,0.529177190804704
"63","47ac4c9350527eb33d9d60440d764a0e522e7a9a5f010833f186853554b6331d",2019-03-29 03:27:32,4,3,1,1,3,1,2,27,2,7,4,234,4,2,2,3,10,4,1,1,228787,63,0.949957159916681
"64","51070bb18d47580259a3ac1943aa66249af6900698145fff670c88aeff11a439",2019-03-29 03:27:40,4,3,1,2,4,1,2,35,2,7,3,301,4,1,2,2,10,3,1,1,207315,64,1.02060044958806
"65","e5198afd9ef7c20c95a754339e0540a5aa5d1db4bcf838ed6a8a876073d1be19",2019-03-29 03:27:43,4,3,2,3,3,1,2,55,3,7,3,104,4,1,2,1,1,4,2,1,204796,65,0.323073829131908
"66","c44cd1c901f76c1fd01fd2c7c2dfae08a869e0fd332d3d0aca8b16908edaab49",2019-03-29 03:27:56,4,3,1,1,4,1,2,14,2,7,1,394,3,2,1,4,9,3,1,2,100858,66,0.614393870441535
"67","80faca47c1c9d60b29ec2be459444def2e1c826d336d4dbcd7f502383c9e978b",2019-03-29 03:28:02,4,3,3,2,3,1,1,5957,2,7,3,228,4,1,2,1,1,3,2,1,NA,67,1.02060044958806
"68","5c9db43b0e3d93286695205ab0339ece64fcdba9c172bfb0b9e02fed4516122b",2019-03-29 03:28:03,4,3,1,3,4,1,2,13524,3,7,3,394,4,1,2,3,1,4,2,1,100858,68,0.323073829131908
"69","52757e3c1e46f2f0ab3db36704191d6aef67d0dea689806b5b8af6f143cc5a37",2019-03-29 03:28:45,4,3,2,1,4,2,1,12,2,4,2,66,4,1,2,2,10,4,2,1,227757,69,0.407490032318916
"70","81a667f6b0a8bf0e553dc4754b1fbe4343a456313d2da9a5ff78f9da61f7c752",2019-03-29 03:29:16,4,3,2,2,3,1,1,26,2,7,2,228,4,1,2,2,2,4,2,1,NA,70,0.954341333290293
"71","1fc6b58f9830b2da66245fc9d8d99cf97254d219021557ccaa343318ad1b2cab",2019-03-29 03:29:25,4,3,1,1,4,1,2,34,2,7,2,172,3,2,2,4,19,3,1,2,197869,71,0.671944248215428
"72","f02146abc3c32ca27a65af02a2facb392882866089cc391240e7f54d946020c6",2019-03-29 03:29:26,4,3,1,1,4,2,2,27,2,6,3,40,4,1,2,2,1,4,2,1,199193,72,0.445945957061595
"73","ab22363d4271b7dcae3054af7b033b0c4d4e41fdce73ecef8451ad43c485eeff",2019-03-29 03:29:38,3,3,1,2,7,2,2,48,2,4,4,147,4,2,2,2,9,3,2,1,166629,73,0.818197715592869
"74","864c636c53ee40c117dd6c05120e5ca0dcbb0a85ac269a6a20b0d697e166731c",2019-03-29 03:29:49,4,3,1,1,1,1,2,27,2,7,4,230,4,1,2,2,2,3,1,1,196088,74,0.949957159916681
"75","675f19064354f7a22e30ee75e20c077971fa27b811f6fce39248f8073bd62029",2019-03-29 03:29:56,4,3,1,1,5,1,2,14,2,7,2,41,4,1,2,4,19,2,1,2,217882,75,0.671944248215428
"76","3c9b4352d417cea8bca2bde3ac934c299c581e8ba3ca1269d8a6cfbe0409eba2",2019-03-29 03:30:41,4,3,1,2,3,1,2,14,2,2,3,1019,4,1,2,2,1,3,2,1,147703,76,3.00002917592654
"77","144fd4c27297f2b3c553f7095ac7eb5040b2c6a70b86f99c9d9ea0199ca8b6d6",2019-03-29 03:30:49,4,3,1,2,2,2,2,13,2,7,2,8,4,1,2,5,2,3,2,1,186131,77,0.954341333290293
"78","5a0010b38ce824ce1a2ea16ceb54d3c8f41fc8f9921fb1f8a0defa98b514a685",2019-03-29 03:30:52,1,1,1,1,4,2,1,5752,2,7,1,41,2,1,1,4,19,1,1,2,217882,78,0.614393870441535
"79","76ac58fe11744b499d760c21b0131f5ff8174367eeb5f374bece980d5ea1d22e",2019-03-29 03:31:00,4,3,1,1,2,1,2,58,2,4,1,9,5,2,1,4,19,3,1,3,190424,79,0.372589509900081
"80","8728a5ec2ce34f49a43407f93efbb7230e285fcec6f816449df87437707cd941",2019-03-29 03:31:14,4,3,1,1,3,1,2,48,2,7,4,171,3,1,2,4,4,3,1,2,207500,80,0.949957159916681
"81","c26dbe890e6759988ddca45df430b6255c31eb24977534f388008bb30817bd78",2019-03-29 03:31:31,4,2,1,1,4,2,2,52,2,4,3,68,4,1,2,2,9,4,1,1,139959,81,0.435781722618561
"82","eed0cbaa24583f0602fc1a2b77f481420de3c1b1822d550c0bc04c818e56906f",2019-03-29 03:31:45,4,3,1,1,4,1,1,12,2,7,4,91,3,1,2,4,3,2,2,2,228778,82,0.949957159916681
"83","6a836e01f2ffbd9e93e0500b753a4459303d2761a43f11f1b813b53850a18a0f",2019-03-29 03:32:01,4,3,3,1,3,1,2,52,2,7,3,189,1,1,1,4,9,1,1,2,178396,83,0.718596772354376
